id;application_no;application_date;application_review_status;total_amount_requested;manager_decision;manager_review_end_date;total_review_turn_time;notification_sent_date;certification_name;certification_title;certification_date;project_specific_application;current_review_status;created_on;created_by;current_complete_per;last_updated_on
1;Car payment;2019-12-26;Small maximize one-to-one;Keyboard Islands Computers;Dalasi;2019-12-26;Bedfordshire;2019-12-26;end-to-end Clothing Iowa;Credit Card Account;2019-12-26;B2B;Lead;2019-12-26;compelling;Fresh;2019-12-26
2;ROI Intelligent Music;2019-12-26;Sharable Toys International;encoding structure;Research Computers;2019-12-26;matrix Metical Advanced;2019-12-26;white;Checking Account;2019-12-26;Tools auxiliary haptic;forecast Cambridgeshire multi-tasking;2019-12-26;Dynamic Research;leverage open-source;2019-12-26
3;cross-platform digital;2019-12-26;Bike;Electronics European Unit of Account 17(E.U.A.-17);Personal Loan Account Table;2019-12-26;Cheese Polarised;2019-12-26;Investment Account;Assurance Cambridgeshire;2019-12-26;Belarussian Ruble;encompassing Avon;2019-12-26;Points Handcrafted Concrete Computer;Incredible Granite Towels primary;2019-12-26
4;Plains copy Accounts;2019-12-26;ivory Metal;compress Brand calculate;Lilangeni;2019-12-27;bluetooth;2019-12-27;deploy Sleek Soft Sausages Cayman Islands Dollar;Integrated background;2019-12-27;payment Pitcairn Islands;sensor strategize;2019-12-27;parse cross-platform SCSI;needs-based;2019-12-26
5;Home Loan Account Sports;2019-12-26;Utah input;SSL Sleek Cotton Mouse;Nebraska;2019-12-26;Toys program;2019-12-26;Product Investment Account Tasty Soft Chair;Games Fresh;2019-12-26;mobile;Loop Orchestrator;2019-12-27;Indiana;Utah;2019-12-26
6;deposit alliance;2019-12-27;Beauty;primary well-modulated;North Dakota Engineer mindshare;2019-12-27;Managed;2019-12-26;Forward Vermont Timor-Leste;Gorgeous EXE Fish;2019-12-26;digital override Accountability;Platinum Berkshire ADP;2019-12-26;invoice Principal pink;Human FTP payment;2019-12-26
7;attitude-oriented;2019-12-26;Texas Egyptian Pound Seamless;copying SSL;Home Loan Account RSS;2019-12-26;Berkshire Developer Trace;2019-12-26;zero administration yellow;Up-sized architectures Dynamic;2019-12-26;connecting Strategist synthesizing;RAM encryption solution;2019-12-27;Implementation Refined Rubber Computer Toys;Small Granite Shoes Creative Metal;2019-12-26
8;Personal Loan Account Rubber green;2019-12-26;index Wyoming Kids;Incredible Granite Table Square mint green;transmitter;2019-12-26;Borders Keyboard Awesome;2019-12-27;wireless application;olive District Consultant;2019-12-27;paradigms synthesizing Auto Loan Account;integrate;2019-12-26;Maryland Director Cheese;International;2019-12-26
9;online compressing;2019-12-27;bypassing leverage;maroon transmitter Oval;Web;2019-12-26;Fantastic architectures Strategist;2019-12-26;interfaces Response Principal;seize Small generate;2019-12-26;Suriname Kuwaiti Dinar Jewelery;GB interface Automotive;2019-12-26;payment;Rubber Sleek;2019-12-26
10;Chicken;2019-12-26;Plastic;Personal Loan Account;XSS;2019-12-26;Awesome Frozen Shirt Fantastic Frozen Keyboard Borders;2019-12-27;toolset withdrawal;mission-critical Kroon;2019-12-26;Internal bypass neural-net;bypass South Georgia and the South Sandwich Islands;2019-12-26;24/365;Bedfordshire Brunei Dollar;2019-12-26
